File,OriginalDescription,NewDescription,MissingFields,Status
content/street/20170418-21.jpg,Canon EOS 5D - Canon EF 85mm f/1.8 USM - 85.0 mm - 1/500 - 2.5 - 125,,,Skipped - already tagged
content/landscapes/20240830-110.jpg,,X-S10 - XF150-600mm F5.6-8 R LM OIS WR - 600.0 mm - 1/1250 - 8.0 - 500,,Updated
content/street/20170424-22-featured.jpg,Canon EOS 5D - Canon EF 85mm f/1.8 USM - 85.0 mm - 1/45 - 1.8 - 500,,,Skipped - already tagged
content/street/20170425-24.jpg,Canon EOS 5D - Canon EF 70-200mm f/4L IS USM - 85.0 mm - 1/350 - 4.0 - 200,,,Skipped - already tagged
content/street/20170817-29.jpg,Canon EOS 5D - Canon EF 85mm f/1.8 USM - 85.0 mm - 1/180 - 9.5 - 100,,,Skipped - already tagged
content/street/20170819-33.jpg,Canon EOS 5D - Canon EF 70-200mm f/4L IS USM - 138.0 mm - 1/250 - 4.0 - 1000,,,Skipped - already tagged
content/street/20171101-37.jpg,Canon EOS 5D - Canon EF 17-40mm f/4L USM - 20.0 mm - 1.5 - 19.0 - 50,,,Skipped - already tagged
content/street/20171104-40.jpg,Canon EOS 5D - Canon EF 85mm f/1.8 USM - 85.0 mm - 1/180 - 8.0 - 200,,,Skipped - already tagged
content/street/20171102-38.jpg,Canon EOS 5D - Canon EF 17-40mm f/4L USM - 26.0 mm - 0.3 - 19.0 - 50,,,Skipped - already tagged
content/street/20171209-51.jpg,Canon EOS 5D Mark II - Canon EF 17-40mm f/4L USM - 35.0 mm - 1/50 - 5.0 - 100,,,Skipped - already tagged
content/street/20171211-52.jpg,Canon EOS 5D Mark II - Canon EF 70-200mm f/4L IS USM - 200.0 mm - 1/500 - 7.1 - 100,,,Skipped - already tagged
content/street/20171211-53.jpg,Canon EOS 5D Mark II - Canon EF 70-200mm f/4L IS USM - 150.0 mm - 1/500 - 8.0 - 100,,,Skipped - already tagged
content/street/20171211-54.jpg,Canon EOS 5D Mark II - Canon EF 70-200mm f/4L IS USM - 200.0 mm - 1/400 - 5.6 - 100,,,Skipped - already tagged
content/street/20171211-55.jpg,Canon EOS 5D Mark II - Canon EF 70-200mm f/4L IS USM - 70.0 mm - 1/250 - 7.1 - 100,,,Skipped - already tagged
content/street/20171230-56.jpg,Canon EOS 5D Mark II - Canon EF 17-40mm f/4L USM - 28.0 mm - 1/25 - 4.0 - 1600,,,Skipped - already tagged
content/street/20171230-57.jpg,Canon EOS 5D Mark II - Canon EF 17-40mm f/4L USM - 17.0 mm - 1/50 - 5.0 - 50,,,Skipped - already tagged
content/street/20171230-58.jpg,Canon EOS 5D Mark II - Canon EF 17-40mm f/4L USM - 17.0 mm - 5 - 8.0 - 100,,,Skipped - already tagged
content/street/20171231-59.jpg,Canon EOS 5D Mark II - Canon EF 85mm f/1.8 USM - 85.0 mm - 1/200 - 2.2 - 100,,,Skipped - already tagged
content/street/20180829-69.jpg,Canon EOS 5D Mark II - Canon EF 70-200mm f/4L IS USM - 200.0 mm - 1/160 - 4.0 - 640,,,Skipped - already tagged
content/street/20240825-81.jpg,X-S10 - XF23mm F2 R WR - 23.0 mm - 1/250 - 2.0 - 400,,,Skipped - already tagged
content/street/20240825-82.jpg,X-S10 - XF23mm F2 R WR - 23.0 mm - 1/160 - 2.0 - 400,,,Skipped - already tagged
content/street/20240826-83.jpg,X-S10 - XF23mm F2 R WR - 23.0 mm - 1/13 - 2.0 - 80,,,Skipped - already tagged
content/street/20240826-84.jpg,X-S10 - XF23mm F2 R WR - 23.0 mm - 1/100 - 2.0 - 400,,,Skipped - already tagged
content/street/20240829-96.jpg,X-S10 - XF23mm F2 R WR - 23.0 mm - 1/1500 - 6.4 - 320,,,Skipped - already tagged
content/street/20241129-127.jpg,X-S10 - XF23mm F2 R WR - 23.0 mm - 1/320 - 10.0 - 400,,,Skipped - already tagged
content/street/20241217-128.jpg,X-S10 - XF23mm F2 R WR - 23.0 mm - 1/320 - 8.0 - 640,,,Skipped - already tagged
content/street/20241217-129.jpg,X-S10 - XF23mm F2 R WR - 23.0 mm - 1/320 - 8.0 - 640,,,Skipped - already tagged
content/street/20250215-135.jpg,Canon EOS 5D Mark III - Canon EF 50mm f/1.2L USM - 50.0 mm - 1/640 - 4.0 - 160,,,Skipped - already tagged
content/street/20250215-136.jpg,Canon EOS 5D Mark III - Canon EF 50mm f/1.2L USM - 50.0 mm - 1/640 - 4.0 - 160,,,Skipped - already tagged
content/street/20250215-137.jpg,Canon EOS 5D Mark III - Canon EF 50mm f/1.2L USM - 50.0 mm - 1/800 - 2.8 - 160,,,Skipped - already tagged
content/street/20250215-138.jpg,Canon EOS 5D Mark III - Canon EF 50mm f/1.2L USM - 50.0 mm - 1/800 - 2.8 - 160,,,Skipped - already tagged
content/street/20250215-140.jpg,Canon EOS 5D Mark III - Canon EF 50mm f/1.2L USM - 50.0 mm - 1/400 - 8.0 - 200,,,Skipped - already tagged
